id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
4002523,40,Oklahoma,OK,Adair County,Oklahoma City,Bell,Track,Track,73127,405,4543559,1527,35.4725181,-97.6627728,39373,31562,33362,860.624272175505
36029464,36,New York,NY,Albany County,Brooklyn,Albany city,Track,Track,11203,718,142464,0,40.6641582,-73.9420074,42578,32617,36075,319.890687685762
360215394,36,New York,NY,Albany County,Richmond Hill,Albany city,Track,Track,11418,718,219829,0,40.6984968,-73.8284961,70361,50538,58433,315.986073144909
360217784,36,New York,NY,Albany County,Clifton Park,Albany city,Track,Track,12065,518,16884295,2914788,42.7966851,-73.8116211,99343,88199,59178,248.280597239004
5402390,54,West Virginia,WV,Barbour County,Coal City,Philippi city,Track,Track,25823,304,329356868,1275956,37.6260109,-81.2164585,52700,40765,45818,1475.67707745732
26029341,26,Michigan,MI,Alcona County,Detroit,Hubbard Lake,Track,Track,48234,313,1079667,0,42.4277494,-83.0763573,37707,24597,42548,236.149952395441
51025104,51,Virginia,VA,Accomack County,Fredericksburg,Chincoteague,Track,Track,22408,540,18203158,1120550,38.2496542,-77.4229079,85126,69869,54436,380.210798799331
36024064,36,New York,NY,Albany County,Saratoga Springs,Albany city,Track,Track,12866,518,9646669,141107,43.0759547,-73.7643201,88525,71891,66850,1316.09476567178
360244,36,New York,NY,Albany County,Loudonville,Albany city,Track,Track,12211,518,2742331,79375,42.6996786,-73.7650276,117882,102112,74399,273.781156891855
17027299,17,Illinois,IL,Adams County,Richton Park,Camp Point,Track,Track,60471,708,2643928,45221,41.4924088,-87.7697665,47621,39088,32678,819.376257317298
72021576,72,Puerto Rico,PR,Adjuntas Municipio,Carolina,Adjuntas,Track,Track,979,787,218664,64817,18.4432811,-66.0217659,49311,49292,27125,353.416146585952
29012384,29,Missouri,MO,Christian County,Spokane,Spokane,CDP,place,65754,417,2187659,0,36.863219,-93.305568,64958,300000,15730,34.0309267204331
53011109,53,Washington,WA,Grays Harbor County,Elma,Malone,CDP,place,98541,360,23416339,14116,46.974382,-123.307427,60362,36788,61583,109.05735725269
48028798,48,Texas,TX,Anderson County,Dallas,Elkhart,Track,Track,75216,972,2325812,0,32.6951584,-96.7814709,30663,22365,24125,358.255997171881
902489,9,Connecticut,CT,Fairfield County,Middletown,Bethel,Track,Track,6457,860,2156003,0,41.5922334,-72.704025,77401,67139,48838,1636.57501309754
48025418,48,Texas,TX,Anderson County,Charlotte,Elkhart,Track,Track,78011,830,692944076,661366,28.832355,-98.7197745,69528,56774,53634,253.290293339219
4402967,44,Rhode Island,RI,Kent County,Block Island,Greene,Track,Track,2807,401,23521355,8258226,41.1768145,-71.5770852,76518,300000,37282,7.26608174134286
60213759,6,California,CA,Alameda County,Los Angeles,Alameda city,Track,Track,90035,310,814659,0,34.0387217,-118.4441579,86354,77492,65205,487.808210205129
23021055,23,Maine,ME,Androscoggin County,Orrington,Auburn city,Track,Track,4474,207,64726302,6067965,44.6887779,-68.7628054,75823,63476,55901,158.721102538953
47021450,47,Tennessee,TN,Anderson County,Brentwood,Clinton city,Track,Track,37027,615,7000284,30885,36.0276458,-86.8024746,121194,104353,87887,319.219586433084
1602800,16,Idaho,ID,Ada County,Soda Springs,Boise City city,Track,Track,83276,208,2936721178,75753773,42.8046919,-111.3877022,70815,62716,52945,319.450815551352
55022668,55,Wisconsin,WI,Adams County,Lake Mills,Adams city,Track,Track,53551,920,209011211,2327852,43.1499252,-88.8806225,60649,53854,37012,414.117682778906
3502885,35,New Mexico,NM,Bernalillo County,Albuquerque,Albuquerque city,Track,Track,87121,505,1977319,2922,35.049648,-106.7125801,33170,28282,29029,166.187654533954
2002690,20,Kansas,KS,Allen County,Eskridge,Gas city,Track,Track,66423,866,1081529517,4925327,38.8873022,-96.1643033,58821,53477,38914,555.945180103294
360218374,36,New York,NY,Albany County,Lindenhurst,Albany city,Track,Track,11757,631,2547637,147329,40.6811285,-73.3627424,72963,300000,43632,257.656390573241
17025619,17,Illinois,IL,Adams County,Northbrook,Camp Point,Track,Track,60062,847,2167634,0,42.1264867,-87.8429419,138349,132399,81771,190.083627947846
360219054,36,New York,NY,Albany County,Quogue,Albany city,Track,Track,11959,631,17767465,10100223,40.8241255,-72.5868779,83855,69485,51266,178.956519486942
17028479,17,Illinois,IL,Adams County,West Frankfort,Camp Point,Track,Track,62896,618,17943445,135403,37.8790249,-88.9087181,53858,44587,39003,443.712092505982
5402190,54,West Virginia,WV,Barbour County,Tad,Philippi city,Track,Track,25201,304,98565957,77955,38.2832126,-81.4925568,51120,43144,34923,1121.03151232652
53022549,53,Washington,WA,Adams County,Seattle,Hatton,Track,Track,98115,206,330715,0,47.6647406,-122.303595,28680,20131,26070,685.02740891701
390211713,39,Ohio,OH,Adams County,New Philadelphia,Rome,Track,Track,44663,330,117632861,1208865,40.4211825,-81.4666977,59738,53985,48619,376.683429225077
5102834,51,Virginia,VA,Accomack County,Sterling,Chincoteague,Track,Track,20165,571,2603486,64815,39.0372878,-77.3944404,155769,161248,67337,312.699338006743
51023164,51,Virginia,VA,Accomack County,Mclean,Chincoteague,Track,Track,22101,703,2415478,13552,38.9357929,-77.1936697,186359,300000,71852,58.0587557953388
40023523,40,Oklahoma,OK,Adair County,Tulsa,Bell,Track,Track,74104,918,1264358,0,36.14422,-95.9669138,26892,20573,23245,282.949406196423
29011994,29,Missouri,MO,Jackson County,Blue Springs,Lake Tapawingo city,City,place,64015,816,949999,336721,39.019966,-94.319191,88196,77520,55596,135.890582001941
42021804,42,Pennsylvania,PA,Adams County,Allentown,Abbottstown,Track,Track,18102,484,306093,0,40.6120714,-75.4716644,32304,19675,33323,893.148295096411
17021149,17,Illinois,IL,Adams County,Brookfield,Camp Point,Track,Track,60513,708,1029221,0,41.8174455,-87.8501113,88290,77813,60554,456.607871553705
602159,6,California,CA,Alameda County,Alameda,Alameda city,Track,Track,94501,510,582861,0,37.7778323,-122.2835979,57071,43007,50318,1165.27070887349
2602281,26,Michigan,MI,Alcona County,Elsie,Hubbard Lake,Track,Track,48831,989,90980068,758314,43.0723965,-84.423269,58310,50247,39791,524.578281460834
4002643,40,Oklahoma,OK,Adair County,Oklahoma City,Bell,Track,Track,73108,405,4918137,0,35.4357439,-97.6101299,52331,44898,34297,273.522092059968
60229169,6,California,CA,Alameda County,Anderson,Alameda city,Track,Track,96007,530,10832948,68915,40.4294831,-122.2988508,57413,43467,39815,195.060573122121
801849,8,Colorado,CO,Montezuma County,Cortez,Lewis,CDP,place,81321,970,8056413,0,37.501715,-108.660059,63030,300000,55926,103.498172115585
26024291,26,Michigan,MI,Alcona County,Traverse City,Hubbard Lake,Track,Track,49686,231,6311636,4471122,44.7768662,-85.5748058,90895,67760,65816,396.142750080691
37026754,37,North Carolina,NC,Alamance County,Ayden,Alamance,Track,Track,28513,252,33518136,0,35.4641875,-77.4376312,92231,74975,48790,174.552767034268
37022074,37,North Carolina,NC,Alamance County,Raleigh,Alamance,Track,Track,27616,919,5349802,0,35.8598798,-78.5897866,42790,33594,33017,1344.42319403648
60218759,6,California,CA,Alameda County,Seaside,Alameda city,Track,Track,93955,831,89619514,1199003,36.5954235,-121.7882216,71651,60335,50939,512.58098631131
3002447,30,Montana,MT,Beaverhead County,Columbia Falls,Wisdom,Track,Track,59912,406,65672170,1186164,48.3495935,-114.1134637,67437,65500,41711,274.151441776907
201610,2,Alaska,AK,Matanuska-Susitna Borough,Anchorage,Point MacKenzie,CDP,place,99501,907,395024280,6304383,61.355597,-150.16935,77110,84804,54957,37.7975359526381
120210670,12,Florida,FL,Alachua County,Miami,Gainesville city,Track,Track,33156,305,3472825,95898,25.6787012,-80.3289477,83779,48206,80878,210.893397830508
902549,9,Connecticut,CT,Fairfield County,New Haven,Bethel,Track,Track,6511,203,1464612,0,41.3274738,-72.9210376,74497,48930,71155,940.946909583757
6026429,6,California,CA,Alameda County,San Francisco,Alameda city,Track,Track,94112,415,819577,0,37.72862,-122.4571583,126130,121459,71232,406.335382735434
370224,37,North Carolina,NC,Alamance County,Burlington,Alamance,Track,Track,27217,336,65709877,4518089,36.200065,-79.4059533,50613,43317,36047,711.431491745588
19021445,19,Iowa,IA,Adair County,Mediapolis,Greenfield city,Track,Track,52637,319,390547104,26922550,40.9654425,-91.0608918,44233,32949,40243,170.160767994659
22022689,22,Louisiana,LA,Acadia Parish,Scott,Crowley city,Track,Track,70583,337,6613609,0,30.2398673,-92.0524413,37264,25297,41974,258.526492299985
36025704,36,New York,NY,Albany County,Bronx,Albany city,Track,Track,10462,718,124862,0,40.8564763,-73.8654305,37198,31452,30605,327.119416114927
1102291,11,District of Columbia,DC,District of Columbia,Washington,Washington city,Track,Track,20011,202,693964,566,38.9479653,-77.0118821,70263,28883,78127,184.621122456758
3702194,37,North Carolina,NC,Alamance County,Kannapolis,Alamance,Track,Track,28083,704,3087036,447631,35.4976616,-80.5817529,49024,36366,39500,490.019557213054
37027884,37,North Carolina,NC,Alamance County,Cary,Alamance,Track,Track,27513,919,5393988,91044,35.795402,-78.8193341,104868,90486,68383,426.566071987869
26021901,26,Michigan,MI,Alcona County,Roscommon,Hubbard Lake,Track,Track,48653,989,27907854,28042822,44.4687247,-84.6900585,50988,39377,39688,719.044820981049
3902763,39,Ohio,OH,Adams County,Strongsville,Rome,Track,Track,44149,440,6893924,0,41.3215228,-81.8572633,102956,89693,69159,721.392826117991
1024206,1,Alabama,AL,Autauga County,Hoover,Autaugaville,Track,Track,35242,205,10958163,801615,33.3868168,-86.7579464,114188,300000,46984,141.617511347335
7202786,72,Puerto Rico,PR,Adjuntas Municipio,San Juan,Adjuntas,Track,Track,926,787,2095981,0,18.3475996,-66.0851837,43078,23763,47278,1280.90113693944
6022289,6,California,CA,Alameda County,Pomona,Alameda city,Track,Track,91766,909,1311060,0,34.0483607,-117.7322415,49352,43057,33243,691.276070382137
2102179,21,Kentucky,KY,Adair County,Grayson,Columbia city,Track,Track,41143,606,110199706,979807,38.3494756,-82.8807556,46589,36177,36386,1867.64151457931
20257,2,Alaska,AK,Aleutians East Borough,Anchorage,Akutan city,Track,Track,99516,907,85707800,11963944,61.0532891,-149.7028074,159063,300000,77818,462.898380712633
17025919,17,Illinois,IL,Adams County,Schaumburg,Camp Point,Track,Track,60194,847,2092264,62727,42.0353003,-88.1397559,65062,62292,42867,637.364586553692
19012024,19,Iowa,IA,Benton County,Atkins,Newhall city,City,place,52206,319,818388,0,41.993329,-91.967341,70506,64833,43016,195.723885751743
40022583,40,Oklahoma,OK,Adair County,Bethany,Bell,Track,Track,73008,405,1287555,0,35.4969478,-97.6278457,42140,34307,24983,194.696291124192
