date,Interest
2023-12-03,86
2023-12-10,84
2023-12-17,79
2023-12-24,64
2023-12-31,71
2024-01-07,81
2024-01-14,79
2024-01-21,87
2024-01-28,91
2024-02-04,95
2024-02-11,100
2024-02-18,94
2024-02-25,95
2024-03-03,93
2024-03-10,95
2024-03-17,89
2024-03-24,84
2024-03-31,94
2024-04-07,84
2024-04-14,87
2024-04-21,86
2024-04-28,84
2024-05-05,84
2024-05-12,82
2024-05-19,86
2024-05-26,85
2024-06-02,84
2024-06-09,84
2024-06-16,83
2024-06-23,80
2024-06-30,84
2024-07-07,85
2024-07-14,85
2024-07-21,83
2024-07-28,80
2024-08-04,80
2024-08-11,80
2024-08-18,84
2024-08-25,82
2024-09-01,80
2024-09-08,83
2024-09-15,80
2024-09-22,83
2024-09-29,78
2024-10-06,78
2024-10-13,81
2024-10-20,83
2024-10-27,72
2024-11-03,75
2024-11-10,79
2024-11-17,78
2024-11-24,76
2024-12-01,83
